Header	Paragraphs
I receive an error when trying to verify my Highrise account on Discord	['Depending on the circumstances, you might experience an error while trying to verify your account.', '', 'The errors begin with a number. We will cover all errors in this article and the best way to solve them:', '', '', 'First, check to make sure you’re not already verified by checking if you have the “Highrise Verified” role assigned. If you can see the #verification channel in the channels list, then you are not verified yet.\u200bIf you’re not already verified, check to see if you receive a pop-up that asks you to verify. The pop-up should look similar to this:', '', '', 'Check to see if the Discord username (including the hashtag) in the pop-up matches the current one you’re logged into and are currently using in our official Discord server. If the username differs, click “Not you?” and log back in using the correct credentials. Then, attempt to complete the verification process again.', '', '', 'Alternatively, if you do not receive this pop-up, try going to https://highrise.game/settings, pressing “Login” at the top right of the screen, and enter your Highrise credentials.', 'From here, check to see if your Highrise account is linked to a Discord account. If there is a Discord account linked, press “Unlink” and attempt to complete the verification process within the server again.', '', '', '', 'If you are unable to find a link to your main Highrise account, try logging out of the website (press on your character’s image at the top right, and then Log Out) and attempt to log back in with the credentials of your alternative account(s).', 'Navigate to https://highrise.game/account/settings again and check to see if there’s a Discord account linked. If so, press “Unlink.”  Then, go back to the Discord Server and attempt to complete the verification process again.', 'If you still receive Error 113 and are unable to find a Discord account linked to any of your Highrise accounts, please open a ticket within the Discord Server under #verification-help', 'Error 114 – The Verification System detects that the Discord account you’re attempting to link is already connected to a Highrise account. This can occur when a user has more than one Discord account, Highrise account, or has recently granted another user access to their account.', 'When attempting to complete the verification process, check to see if you receive a pop-up that asks you to verify. The pop-up should look similar to this:', '', '', 'Check to see if the Discord username (including the hashtag) in the pop-up matches the current one you’re logged into and currently using in our official Discord server. If the username differs, click “Not you?” and log back in using the correct credentials. Then, attempt to complete the verification process again.', 'Alternatively, if you do not receive this pop-up, try going to https://highrise.game/settings, pressing “Login” at the top right of the screen, and enter your Highrise credentials.', 'From here, check to see if your Highrise account is linked to a Discord account. If so, press “Unlink” and attempt to complete the verification process within the server again.', 'If you are unable to find a link to your main Highrise account, try logging out of the website (press on your character’s image at the top right, and then Log Out) and attempt to log back in with the credentials of your alternative account(s).', 'Go to https://highrise.game/account/settings and check to see if there’s a Discord account linked. If so, press “Unlink.” Then, go back to the Discord Server and attempt to complete the verification process again.', 'If you still receive Error 114 and are unable to find a Discord account linked to any of your Highrise accounts, please open a ticket within the Discord Server under #verification-help', 'Error 116 – The Verification System detects that the Highrise account you’re attempting to link was created less than 24 hours ago.', 'Wait 24 hours then try to complete the verification process again.', 'Error 118 –  The Verification System detects that the Discord account you’re attempting to verify with is not the same one that you have inside our Discord server. This can occur when a user owns more than one Discord account and is logged in the wrong one.', 'When attempting to complete the verification process, check to see if you receive a pop-up that asks you to verify. The pop-up should look similar to this:', '', '', 'Ensure the Discord username (including the hashtag) in the pop-up matches the current one you’re logged into. If the username differs, click “Not you?” and log back in using the correct credentials. Then, attempt to complete the verification process again.', 'If you still receive Error 118 and are unable to find a Discord account linked to any of your Highrise accounts, try logging into Discord through the web browser https://discord.com/ and attempt to complete the verification process again.', 'If you still are unable to verify, please open a ticket within the Discord Server under #verification-help', 'Error 119 – The Verification System detects that you’re attempting to verify a Highrise account that has been suspended or banned.', 'You can contact Highrise Support to appeal the ban or suspension through [email\xa0protected] or use this form and choose the banned/suspended option: https://highrise.helpshift.com/hc/en/3-highrise---your-avatar-community/contact-us/', 'Error 120 – The Verification System detects that the Highrise account you’re attempting to verify has not been active recently.', 'Ensure you have the Highrise mobile app downloaded and log into it with your normal Highrise credentials. Interact on the app for 5-10 minutes and attempt to complete the verification process again.', 'If you still are unable to verify, please open a ticket within the Discord Server under #verification-help', 'Error 401 – The Verification System detects that the authorization process was cancelled.', 'To ensure you can verify, please first authorize permission to access your Discord account. Ensure your Discord username and hashtag ID match identically to the one it asks you to authorize permissions for.', 'If you receive a pop-up that asks you to verify; the pop-up should look similar to this:', '', '', 'Ensure the Discord username (including the hashtag) in the pop-up matches the current one you’re logged into. If the username differs, click “Not you?” and log back in using the correct credentials. Then, attempt to complete the verification process again.', 'If you still are unable to verify, please open a ticket within the Discord Server under #verification-help', 'This error is often a result of browser and network setting issues. Extensions, Ad-blockers, and Anti-virus use as well as VPNs, Proxies, public Wi-Fi, or Mobile data connections can interfere with the verification process.', 'Complete the verification process again in another web browser that hasn’t been used previously. This will ensure that no extension interferes with the Verification website. Turn off any VPNs and Proxies as well as Public Wi-Fi or mobile data. Once connected to a private Wi-Fi connection, try to complete the verification process again.', 'If you still are unable to verify, please open a ticket within the Discord Server under #verification-help.']
How do I verify my account on Discord?	"['To verify your account, simply join our official Discord server (https://discord.gg/highrise) and follow the steps below:', '', 'Press ""Accept Invite"" on the site you\'re showed.', '', '', 'Navigate to the #verification channel.', '', '', '', '', 'Press the button that says ""I want to verify my account"".', '', '', 'Press ""Yes"" on the message you\'re shown after pressing the button.', '', '', 'You\'ll be prompted to the Highrise website. Choose ""Login with Highrise account"" and sign in using your Highrise account details.', '', '', 'Login with your Discord account, and press ""Authorize"" on the prompt.', '', '', 'Your account is now verified! You have full access to the Discord server and all its benefits and features ']"
How do I join the official Highrise Discord server?	['To join the official Discord server, navigate to  https://discord.gg/highrise', '', 'Users in the official Discord server have to go through a new verification process to be able to see the content of the server, claim rewards, and to be able to interact with the other members.', '', ' Only ONE Highrise account per user is eligible to complete the verification process. More than one Discord accounts are not allowed.', '']
Are You Interested in Working With Us?	['The Creator Partner Program is an exclusive opportunity within Highrise for talented social media content creators to collaborate, innovate, and amplify their impact. As a Creator Partner, you’ll have the chance to produce engaging videos that showcase Highrise’s exciting features, events, and items. These videos may be promoted on platforms like TikTok, increasing their visibility and reach.', '', 'Are you a passionate social media content creator interested in joining the Creator Partner Program? Reach out to us at [email\xa0protected] to learn more about how you can become a part of this exciting initiative and make your mark within Highrise.', '']
Where can I find Highrise assets?	"[""Create with official Highrise art! Use this resource for banners, promos, collages, and more. \u200bHere, you'll find documentation for our Style Guides and Branding, along with assets for Gold, Collectibles, Grab icons, and more. \u200b"", 'https://pocketworlds.notion.site/Public-Facing-Assets-ef86c04f79ba4db49aed66ef43ae0c81']"
What is HRLive and how do I apply?	"['The Highrise community creates countless experiences that enrich and unite our metaverse. The HRLive program supports hosts and players alike by promoting player-hosted events that inspire, entertain, and build deep connections in our vibrant virtual world. Follow the official @HRLive account and browse the #HRLive hashtag to stay updated on upcoming events!', 'We sponsor a wide variety of events - from fierce pageants and round-table discussions to sing-along nights and maze-building competitions. What’s most important is that hosts know how to engage and entertain their audience. We encourage hosts to be as creative as possible, so submit your wildest ideas!', '', 'For an event to be considered for sponsorship by HRLive, the host must:', 'Have a clean moderation history. One or two warnings are acceptable, but anything beyond that will be flagged for review.', 'Strive to be a positive influence in the community.', 'Have hosted awesome events with significant engagement and attendance.', 'Simple giveaways and tipping rooms do not qualify to be HRLive-sponsored events . We are looking for experiences that engage and inspire our community in unique and creative ways !', '', 'Your idea should be creative! ', 'Submit a detailed proposal of your event.', 'Submit an event that will happen at least 3 weeks from the day of submission.', 'If possible, summarize your prior events (including content, attendance, engagement, and anything else you can think of).', 'If possible, create content around the event, like posts and promotional material.', 'Free room boost: Your room will be at the top of the directory for as long as it is running.', 'Room capacity expansion: According to the event’s needs.', 'Free microphone: If the experience requires voice chat. (Remember that microphone cannot be shared with minors.)', 'Distribution on HRLive calendar.', 'Bubbles for event room building.', 'HRLive and Highrise EN post announcements with the events of the week.', 'Shoutouts on Highrise EN and/or HRLive account may be possible.', 'Fill out this form! You can also start promoting your event without our official sponsorship by tagging #HRLive. We’ll be watching! ', '', ""Yes! You can use this link to explore different resources and materials that can help you create marketing collateral to promote your event. If you need some other material, please contact us and we'll see what resources we can add!"", '', ""That's okay, we've got you covered. All you need to do is share your event's vision with us and provide any relevant materials you have, such as avatar images (without background) or references. We’ll take care of the rest and turn your banner into reality.""]"
What's a Highrise bot and how do I get one?	"['The Highrise bot API is a powerful toolkit that enables you to add awesome features to your rooms in Highrise. These tools let you create ""bots"" that can perform a wide range of exciting tasks, such as hosting trivia, storing leaderboards, reading emotes, collecting tips, teleporting guests, and much more.', '', 'By utilizing the Highrise bot API, you can make your rooms more engaging and interactive for you and your friends. The customization options for your bots are virtually limitless, allowing you to create unique and extraordinary experiences within your rooms. Unleash your creativity with the Highrise bot API, and transform your room into the ultimate hotspot in Highrise!', '', ""Here's what you need to use the Highrise Bot API:"", ""You can create a bot via the Settings section on our website. You'll find the option to create a bot at the bottom."", ""You can read the documentation about the bot's endpoints in the FAQ on the website."", 'Bellow are links to BETA versions of Highrise SDKs.  They enable you to build a Highrise bot more easily.', 'Highrise Bot Python SDK', 'You can retrieve the room ID for a room by copying the room link that is shared from the app. So, for example, the', '640532d333363a77adc6ff56', 'in', 'https://highrise.game/room/640532d333363a77adc6ff56', 'If you have any more questions, please join the Discord and request to be added to the BETA API discussion channel.']"
Tips, Tricks, and Other Questions	"['A: Concepts empowers not only our artists, but our entire community, to shape the direction of all Highrise art. An updated scoring system gives everyone a better chance to influence a Concept’s winning designs, and by sharing our staff’s designs before they’re released, we can dissolve the boundaries between “official” and community designs. Concepts lets everyone share in the experience of creating and watching as your favorite items travel from idea to your closet.', '', 'A: Yes! For now, we’re retaining much of the structure of our current Design Contest prize distribution. Unless otherwise stated, all winning Concept artists will receive 5 copies of each item they make and 5k gold per item.', 'Sometimes, we’ll run special Concepts with cash payouts (as in the case of Sale items). Our team will let you know what information we’ll need to send your compensation.', '', 'A. Every artist needs an audience who supports their creative endeavors! However, Concepts is not about seeking out specific entries. Rather, the feature was designed to help level the playing field and prevent any design from rising to the top based on the popularity of the designer.', 'Every submission is randomly paired, which means that every single entry stands a fair chance of acheiving a high rating using the Elo scoring system.', '', ""A. Technically, yes. BUT, total votes does not equal a higher score. That's the magic of Elo!"", ""The Elo rating system is designed to predict the outcome of a matchup. If an entry is performing well, it will fall in the ranks quickly if a new contender consistently defeats it in a matchup. This allows for a newer submission to quickly gain a higher score than older submissions, if it's performing well."", ""While Concepts does allow the possibility of a simultaneous Submission and Voting phase, for our first Concept (Artist's Lounge), we'll be keeping the two phases separate."", '', 'Every Concept will have a brief description of the theme and item type you should create, but these are only starting points: your vision is at the heart of this feature, and of Highrise as a whole.', 'Medium: Feel free to create your Concept using pen and paper, Photoshop, Illustrator, Procreate, or any other medium you’re most comfortable with.', 'Re-entries: If one of your Concepts or Contest designs doesn’t get selected, you may resubmit your Concept art to any number of relevant Concepts. However, please stay on theme!', 'Originality: Your work should be your own. Any artwork lifted from Instagram, DeviantArt, or other art communities will be disqualified, as will designs depicting copyrighted characters or other IPs.', 'Drawing Assistance: You may use references, drawing aids, and staff-made Highrise items as bases in your Concepts. We’re looking for good ideas, which is not necessarily the same thing as good art!', 'Redesigns: You may submit a redesign of any existing staff-made Highrise item in your Concept, regardless of the Concept’s theme.', 'Player Items: Anyone may freely use Highrise items designed by staff as references and in redesigned items. However, you may not trace items designed by other players. Please report any designs you believe to be using player material, and our team will review the submission.', 'All submissions will be regarded as User-Generated Content as defined in the Pocket Worlds Terms of Service. By submitting a design, you acknowledge Highrise will own the rights to the finished items, and that your compensation will take the form of free items and/or gold.', '', 'Got lots of ideas? Great! Share multiple concepts in multiple submissions. This is to help ensure that when someone views your concept, they are able to clearly identify the item they’re voting for. We’ve increased the maximum number of total submissions you can create to account for the new Elo scoring system. Help us keep Concepts fair!', '', 'It’s dangerous to go alone! Take a partner - if you like. Collaborations are allowed in Concepts, but for now, collaborations are limited to dynamic duos only. If you have a partner, please have only one person submit your shared Concept, and add your partner’s name on the entry.', 'Our messenger only supports 1-1 conversations, so please keep in mind that whoever submits your Concept will be responsible for all communication with our team.', 'Additionally, we do not increase total compensation (items, gold) for collaborations. When dividing your prize items, we’ll split your total as evenly as we can, and send any spillover items to the artist who submitted the Concept. For example, if everyone gets 5x copies of their item, the submitter will receive 3, and their partner will receive 2. Feel free to redistribute the items and gold afterward!', '', 'Attempts to artificially boost your score by offering gold or other incentives in exchange for gold is not allowed. Additionally, any other malicious behaviors outlined in our Community Guidelines (ie, witch-hunting, newsfeed campaigns against another artist, etc) may also result in your disqualification from a Concept, and possibly lead to a mute, suspension, or a ban.', '', 'Looking for more info on how to create Highrise items? Check out our Avatar Item Layering Guide in the FAQ for more info!', 'Teamwork makes the dream work! When communicating with Highrise Staff through the Concepts messenger, please be respectful and remember that we’re all in this together, and all want to see Highrise continue to evolve into its best self.', 'Worried about whether your Concept suits a theme? Don’t be! No one will ever get disqualified for trying something new, or slightly misinterpreting a Concept’s prompt. In any case, the people will decide whether your design matches a theme or not, and bubble up the best, most creative entries.']"
Communicating with the Highrise Art Team	"['If your Concept is selected, we’ll open a direct line of contact with our Art Team to help you transform your design into a real item! The Concepts tool features an integrated messenger, so you won’t have to leave the app’s webpage to keep the conversation going!', 'When the Concept ends, you’ll receive a message from our team, and your winning submission will get a groovy new SELECTED banner across the top.', '', 'Tap into your Selected Submission to open the messenger view. Throughout this process, you’ll receive messages from our Art Team directly in your Highrise Inbox. Once you’re in the Concepts web view, you’ll see a small notification bubble next to any Selected Submission with pending messages.', '', '', '', '', 'Send our team your design notes, special requests, and additional concept and reference artwork in the Concepts Messenger. Tap the paperclip to attach additional images.', '', '', '', '', 'Our team will share updates on how your concept is progressing and ask questions as they come up. When your concept is ready for preview, we’ll share a sneak peek for your review.\u200b\u200b', 'A Special Note for Collaborators', 'Currently, our Messenger only supports chat with the artist who submitted the winning design.', '', ""We're working to add functionality to create a multi-way chat for collaborators, but until then, please coordinate with your partner to view previews and share feedback!"", '', 'As a quick heads up, our production turnaround is pretty speedy. When we send previews, please share any edit requests with us as soon as possible; ideally, within 48 hours. Also, keep in mind that even if you send edit requests right away, we can’t guarantee that all changes will be implemented, due to an array of possible blockers (like technical layering issues, stylistic choices, time constraints, or significant departures from your original winning concept).', 'The Concepts messenger will close for your winning Submission about a week after your items go live. If you have any other feedback or concerns about your items after this period, please reach out to our Support Team for assistance.', 'After all edits are complete and your items are ready, we’ll send them to you as an Inbox Gift about 48 hours before they’re due to go live.']"
How do I submit a Concept?	['Navigate to the Concept theme of your choice, and tap the Upload Submission button to begin.', '', 'You’ll be prompted to Upload Photos from your library, camera, or files.', 'You can upload up to 5 images per Submission. The number of total Submissions will vary per contest, but will typically land around 10 or so.', 'Consider each Submission a separate entity. For example, if the Concept you’re entering asks for a face item, and you have created designs for eyes, lips, and a nose, use one submission for each item. This is to help keep the Concepts process more fair, clear, and easier for everyone to actually pick the items they want!', '', '', 'Once you’ve chosen the photos for your Submission, you can either add more, or delete from your current selection. If you’d like to reorder your images, you’ll have to delete and reupload your photos in the proper order.', '', 'When you’ve finalized the images you’d like to use for your Submission, you’ll be given a preview. Tap Create.', 'You can view your submissions any time from within the Concept card page. Add another entry by tapping the + sign.', '', '', 'Change your mind about a submission? Navigate to My Submissions, tap on the entry you’d like to delete, and tap Delete Submission.', '', 'A: First, be sure to check your internet connection. We know, this is a boring tip - but it’s often the issue!', 'Next, try to exit out of the Concepts page and re-enter the My Submissions portal to confirm your entry isn’t there.', 'Finally, be sure to check that all your image size does not exceed 5MB.', '', 'A: Um no.', 'Help us ensure that voting is accurate! Please keep each submission limited to one concept apiece. For grabs, this means using one Submission per grab concept; in the case of single-item Concepts, each item should be its own submission.', 'You can still use a clothed avatar as a model for your design, and share multiple examples of how it might look with different outfit combinations. However, your first slide should always clearly label or highlight your actual design.', '', 'A: You won’t be able to update the images in a submission after you create it. If you need to change the artwork or order of your slides, you’ll have to create a new Submission.', 'Accidentally delete a concept after the submisison period is over? No worries! Reach out to our Support team. We can restore your deleted submission!']
How do I vote on Concepts?	"['When you vote, you’ll be presented with two random designs. If a design has more than one image, view additional slides by swiping right-to-left.', '', '', '', 'Pick your favorite! Tap on an entry to select it, and tap again to confirm your choice.', '', '', '', '', 'After you confirm, you’ll be presented with a new pair of concepts. Votes are infinite, so keep reviewing concepts as long as you’d like - or until supper calls ', '', 'A: This tool uses ELO rating! This style of scoring gives each entry a score that increases and decreases depending on its total wins over a series of matchups; importantly, in this system each vote carries a different weight depending on the ranks of the two competitors.', 'For example, an entry will receive a modest impact to its score when paired against an entry with an equal rating. But if a highly voted entry is paired against a low voted entry, it will receive a bigger hit to its score - and the lower voted entry will receive a bigger bonus.', 'This system is also what allows us to run voting alongside an open submission period, as votes are not tallied via total quantity, but rather by total score. A new, recently submitted design will always have a chance to rise through the ranks if it receives enough attention! Unless you submit like, an hour before the contest ends. In that case, good luck kid.', 'Read more about the system here!', '', 'A: All pairs are random. None of the following will affect pairing or order of appearance:', 'Time of entry', 'Current score', 'Whether you’ve seen an entry before', 'Whether you approved or disapproved an entry', 'Who submitted the design', '', 'A: Right now, we do not have a system in place for retaining an index of your votes. Additionally, there is no navigation for going back to rescind a vote, or bookmarks to revisit an entry later. Go with the flow, and let your feelings guide you!', '', ""A. Nope! The idea behind Concepts is to give every single design an equal chance of being seen. The A or B voting mechanic should bubble up the best designs over time; which means that every vote you cast matters. When voting, you're not picking the overall best entries, but evaluating two concepts side-by-side in order to share your impressions of their quality relative to each other."", 'By voting on each entry, you help to give us an accurate read on how well the community is resonating with a particular design.', '', 'A: Report an entry for violating our Community Guidelines by tapping the red flag in the upper left corner. Please share a comment on why you are submitting your report in the text box, and then hit Submit to send your report to our dedicated Trust & Safety team.']"
How do I access Highrise Concepts?	['First, head on over to highrise.game', '', 'Next, navigate to Concepts in the side panel.', '', '', '', 'On the main landing page, you’ll see two options for VOTE and SUBMIT.', '', '', '', '', 'Underneath the tabs for both Vote and Submit, you’ll see some cards displaying active Concepts in chronological order. Use the Search bar to look for a particular Concept to get involved in a particular Concept theme.', 'In both Vote and Submit views, tap on the Concept Card to view more details about that particular Concept. This information will include timelines, rules, special prompts, and more.', 'Tap on either VOTE or SUBMIT buttons to jump right in and skip the contest details page.', '', '', '', '', '']
What is Highrise Concepts?	"['Concepts is an evolved version of our current UDC (User Design Contest) tool. The Concepts hub currently lives on our website highrise.game - here, community members can view and submit item ideas for designated themes.', '', 'Where Concepts departs from the UDC model is that it allows A or B voting, a different vote scoring system, and even simultaneous submission and voting.', 'When someone wants to view and vote on the submitted artwork for a Concept, they’ll be presented with two entries at once, and will choose their favorite between the two. Yes, this is just like our Style Challenge voting!', '', ""Also like our Style Challenges, scoring will be determined through ELO rating. Not only is this system a better indicator of what resonates with the community, but it also allows us to open any concept’s submission period to run concurrently with its voting stage (since submitting early to gain more votes is no longer an issue). Additionally, this system elevates art based on the merit of the design alone. By reducing the impact of a player's popularity on their total votes, lesser-known creators have a better chance of getting noticed."", '', ' :', 'In keeping with our vision of a Highrise entirely built by the community, we want to move toward a future where content moves in a transparent pipeline from sketch, to vector, to real item, with your innovation, intuition, and insight as key influences every step of the way.', '', 'Concepts lets you take a far more active role in choosing what kind of content gets released. By participating in the scoring process and bubbling up the best designs, you can let us know early on if a concept is in high demand and should be put into production.', '', 'Additionally, our Art Team will be using HR Concepts to submit their own art sketches to the voting pool, so we can all collaborate as a community on what kinds of looks we like the best. We’re imagining a future where everyone can get involved in choosing what gets released!']"
Highrise Events General FAQ	"['This article goes over general information about our events and their mechanics.', ""In events, you can compete to earn limited-edition prizes every week. Participate in each event's unique play style to win tickets, the more tickets you earn, the more you win!"", '', 'Highrise features three main event styles:', 'Style Challenge: Compete as a Model or Judge in fashion challenges.', 'Prank: Engage in playful pranking for rewards.', 'Donate: Collect and donate items to NPCs.', 'You can earn tickets by participating in event activities, that vary depending on the event type.', '', 'For prizes! The more tickets you accumulate, the higher your rank and the better the rewards.', 'Party Time is a special ticket bonus buff that occurs every 6 hours. During this 30-minute time window, you earn a 30% bonus on tickets. In Prank and Donate events, you can use Rocket Fuel to start Party Time anytime. Note that Rocket Fuel stacks to your current party time amount but does not reset your next party time bonus buff cooldown.', 'In the event shop, you can purchase batteries for energy refills, Rocket Fuel for Party Time, Magic Glasses for Style Challenge, and Helper Items for Prank and Donate events.', '', 'You can spin the Lucky Wheel during an event for a chance to win event items, the same ones you’d find in the event shop!', 'Spend Lucky Tokens on the Boost bar', 'Obtain items from the event’s grab that offer boosts', 'No: only items with an indicator displaying a boost for a particular event will provide bonus tickets. Usually, we offer 1-3 boosted event grabs, and boosted items may also be found in special event sales. For Prank & Donate events you can find items in our lucky grab that offer boosts as well, though these will only contribute a max of 4 lucky token items to your boost. Account-bound items obtained via Promo Tokens do not contribute towards your boost.', 'Note: there is a maximum 20-item limit for combined boosts, and boosted items are NOT tradable during events! Items with boost become tradable after the event ends', 'Most events offer rewards in these categories (based on ticket count):', 'Participation', 'Individual Ranked', 'Crew Ranked', 'In Style Challenges, Individual Ranked rewards are broken down further into Model and Judge Rewards. Respectively, these are earned by achieving a high approval rating for your modeled outfit, and for consistent performance in the Judging portion of the event.', 'Boost items not counting? Boost is calculated from your top boosting items; account-bound promo items don’t count. There is also a maximum cap on boost, this cap may vary each event and will always be displayed on the event HUD.', '', 'Do lucky tokens expire? Yes, any lucky tokens left over when an event ends will expire and not carry over to the next event. So make sure to use them up!', '', 'If I leave my crew, do my tickets carry over? No, if you leave your crew, and join a new crew, your ticket contribution will start at 0 in your new crew.', '', 'Can I kick someone from my Crew during an event? No, you cannot kick crew members during an active event. This is something we have in place to prevent abuse.', ""If you'd like to read guides going over specific event types, just click the event you're interested in below:""]"
Style Challenge Event Guide	"['A guide for our Style event', 'The Style Challenge event in Highrise is all about fashion and creativity. Players can participate as Models or Judges, with different strategies for each role.', ""Dress to Impress: Choose outfits that align with the event's theme."", 'Submitting Your Avatar: Once dressed, submit your avatar for voting.', 'Boosts: Use items like Lucky Tokens to increase the amount of tickets you earn each time another user votes for you.', 'Earning Tickets: You earn Model tickets each time another player votes for your outfit.', 'Voting: Choose between two players, picking the one that best fits the theme.', ""Earning Tickets: Judge tickets are earned for each successful vote. A successful vote is if you vote for the same model that the majority of people think fits the event's theme."", 'Combo Multiplier: Consistently choosing the popular outfit increases your combo multiplier, earning you more tickets.', 'Magic Glasses: Use this item to see the more popular model, guaranteeing you a correct vote.', 'Party Time: Take advantage of this period every 6 hours for a 30% ticket boost.', 'Magic Glasses: Save magic glasses to use during party time or to keep your ticket combos going.', 'For a comprehensive overview of general event details, along with useful tips and tricks, click below to explore our Event Guide!\u200b', '']"
Prank Event Guide	['A guide for our Prank event', 'Prank events are playful and interactive ways to compete and earn rewards while playing successful pranks on other users.', 'Initiate a Prank: Tap the bubble over another user', 'Choose Your Prank Item: Select from various prank items, each with different success rates and ticket rewards. As you prank more and more people in a row, your odds of success become slimmer.', 'Successful Pranks: Earn tickets for each successful prank, earning a bonus by getting multiple successful pranks in a row.', 'Individual Tickets: Earned with each successful prank.', 'Participation Milestones: Reach ticket milestones for additional rewards', 'Crew Score: Total tickets earned by all crew members.', 'Strategize Item Use: Save 100% success rate items for bonus rounds to get big ticket boosts.', 'Streak Bonuses: After 5 successful pranks in a row, you get a streak bonus of 30%', 'Party Time and Rocket fuel: Utilize these for ticket bonuses', 'For a comprehensive overview of general event details, along with useful tips and tricks, click below to explore our Event Guide!\u200b']
Donate Event Guide	['A guide for our Donate event', 'In Donate events, players collect items and donate those specific items to NPCs looking for them.', 'Collect Items: Tap bubbles above other players to collect various items', 'Donate to NPCs: Find NPCs requesting specific items from the items you collected and donate to them. Some NPCs like Banana Bo may appear after a certain amount of successful donating and turning in the correct items to them will offer bonus tickets.', 'Earn Tickets: Each donation earns Individual tickets.', 'Filling the Meter: Each donation increases your friendship meter.', 'Benefits: A full meter yields more tickets per donation', 'Individual Tickets: Earned from donations.', 'Participation Milestones: Earn rewards by reaching ticket milestones.', 'Crew Score: Cumulative total of tickets earned by crew members.', 'Gather in Bulk: Collect items in bulk before donating to save time', 'Use Party Time Wisely: Maximize your ticket earnings during this period to take advantage of the 30% boost multiplier.', 'For a comprehensive overview of general event details, along with useful tips and tricks, click below to explore our Event Guide!', '']
What are Creature Coins and how can I earn them?	['Creature Coins are special tokens awarded daily to members of the Highrise Creature Club, **to spin exclusive grabs within the Highrise app. In order to receive these coins, you must own at least one Highrise Creature Club NFT.', 'Each Epic Creature held awards 25 Creature Coins daily.', '1 Creature = 25 coins', '10 Creatures = 250 coins', 'Each Legendary Creature held awards 75 Creature Coins daily.', '1 Legendary Creature = 75 coins', '10 Legendary Creatures = 750 coins', 'Creature Coins will be delivered to the gift section of your inbox within the Highrise app daily.', ' You must claim them within 24 hours or they will vanish!', '', 'Within the Highrise App, go to the “Shop” tab then “Featured Grabs.” Here you will find exclusive Creature grabs that can only be spun with Creature Coins! The cost to spin these exclusive grabs may vary from time to time. All items obtained from these grabs are tradable in-game!']
